orig,read,kind
@magazine,アットマ’ガジン,4
@キャプチャ,アットキャ’プチャ,4
@コントローラ,アットコントロ’ーラ,4
@スイッチ,アットスイ’ッチ,4
@ブラウザ,アットブラ’ウザ,4
@メール,アットメ’ール,4
@メニュー,アットメ’ニュー,4
@映像館,アットエーゾ’ーカン,4
@拡大ツール,アットカクダイツ’ール,1
@料金表示,アットリョーキンヒョ’ージ,4
administrator,アドミニストレ’ーター,1
administrators,アドミニストレ’ーターズ,1
animo,ア’ニモ,4
azby,ア’ズビー,4
azbyclub,アズビーク’ラブ,4
biblo,ビ’ブロ,4
biglobe,ビッグロ’ーブ,4
celeron,セ’レロン,4
computer’s,コンピュ’ーターズ,1
crusoe,クル’ーソー,4
drag’n,ドラッグン,1
dvd,ディーブイディ’ー,1
finespeech,ファインスピ’ーチ,4
finespeech2,ファインスピ’ーチ＿ツ’ー,4
hiーho,ハ’イホー,4
intacta,インタ’クタ,4
intellisync,インテリシ’ンク,4
juke,ジューク,1
keiko,ケ’イコ,1
limited,リ’ミテッド,1
loox,ル’ークス,4
magictv,マジックティーブ’イ,1
motiondv,モーションディーブ’イ,4
netscape,ネットスケ’ープ,4
oricon,オリコン,4
pentium,ペ’ンティアム,4
pliche,プ’リシェ,4
q&a,キューアンドエ’ー,1
readme,リードミ’ー,1
sanrio,サンリオ,4
shogakukan,ショーガ’クカン,4
soーnet,ソ’ネット,4
softex,ソフテ’ックス,4
soho’s,ソ’ーホーズ,1
takashi,タ’カシ,1
telephony,テ’レフォニー,1
transmeta,トランスメ’タ,4
ttnet,ティーティーネ’ット,4
なっとく,ナットク,6
なんば,ナ’ンバ,5
はーときゃんばす,ハートキャ’ンバス,4
ぱれっと君,パ’レットクン,4
まいと~く,マイト’ーク,4
らくらく写真館,ラクラクシャシ’ンカン,4
タスクバー,タスクバ’ー,1
ドット,ドット,1
リカバリ,リカバリ,6
眼の助,ガンノスケ,4
魚座,ウオザ,1
降水確率,コースイカ’クリツ,1
常時接続,ジョージセ’ツゾク,6
水瓶座,ミズガメザ,1
声の高さ,コ’エノ＿タ’カサ,1
筆ぐるめ,フデグ’ルメ,4
python,パ’イソン,4
nyanchan,ニャ’ンチャン,4
info,イ’ンフォ,4
queue,キュ’ー,4
google,グ’ーグル,4
chrome,クロ’ーム,4
git,ギ’ット,4
